seqname	sample	bp	cov	del	ins	indel	delRatio	insRatio	indelRatio
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	1	652	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	2	675	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	3	679	2	1	3	0.00294550810014728	0.00147275405007364	0.00441826215022091
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	4	681	0	1	1	0	0.00146842878120411	0.00146842878120411
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	5	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	6	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	7	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	8	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	9	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	10	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	11	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	12	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	13	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	14	681	0	2	2	0	0.00293685756240822	0.00293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	15	681	0	1	1	0	0.00146842878120411	0.00146842878120411
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	16	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	17	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	18	681	0	2	2	0	0.00293685756240822	0.00293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	19	681	0	2	2	0	0.00293685756240822	0.00293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	20	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	21	681	0	0	0	0	0	0
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	22	681	1	0	1	0.00146842878120411	0	0.00146842878120411
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	23	681	1	0	1	0.00146842878120411	0	0.00146842878120411
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	24	681	1	0	1	0.00146842878120411	0	0.00146842878120411
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	25	681	2	0	2	0.00293685756240822	0	0.00293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	26	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	27	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	28	681	54	3	57	0.079295154185022	0.00440528634361234	0.0837004405286344
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	29	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	30	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	31	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	32	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	33	681	15	0	15	0.0220264317180617	0	0.0220264317180617
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	34	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	35	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	36	681	14	1	15	0.0205580029368576	0.00146842878120411	0.0220264317180617
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	37	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	38	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	39	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	40	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	41	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	42	681	14	1	15	0.0205580029368576	0.00146842878120411	0.0220264317180617
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	43	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	44	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	45	681	20	7	27	0.0293685756240822	0.0102790014684288	0.039647577092511
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	46	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	47	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	48	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	49	681	15	2	17	0.0220264317180617	0.00293685756240822	0.0249632892804699
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	50	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	51	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	52	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	53	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	54	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	55	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	56	681	14	2	16	0.0205580029368576	0.00293685756240822	0.0234948604992658
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	57	681	14	2	16	0.0205580029368576	0.00293685756240822	0.0234948604992658
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	58	681	14	1	15	0.0205580029368576	0.00146842878120411	0.0220264317180617
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	59	681	14	3	17	0.0205580029368576	0.00440528634361234	0.0249632892804699
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	60	681	14	0	14	0.0205580029368576	0	0.0205580029368576
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	61	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	62	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	63	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	64	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	65	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	66	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	67	681	21	1	22	0.0308370044052863	0.00146842878120411	0.0323054331864905
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	68	681	22	0	22	0.0323054331864905	0	0.0323054331864905
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	69	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	70	681	21	1	22	0.0308370044052863	0.00146842878120411	0.0323054331864905
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	71	681	21	2	23	0.0308370044052863	0.00293685756240822	0.0337738619676946
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	72	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	73	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	74	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	75	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	76	681	21	1	22	0.0308370044052863	0.00146842878120411	0.0323054331864905
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	77	681	21	1	22	0.0308370044052863	0.00146842878120411	0.0323054331864905
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	78	681	28	6	34	0.0411160058737151	0.00881057268722467	0.0499265785609398
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	79	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	80	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	81	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	82	681	21	1	22	0.0308370044052863	0.00146842878120411	0.0323054331864905
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	83	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	84	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	85	681	21	0	21	0.0308370044052863	0	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	86	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	87	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	88	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	89	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	90	681	20	0	20	0.0293685756240822	0	0.0293685756240822
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	91	681	20	1	21	0.0293685756240822	0.00146842878120411	0.0308370044052863
delreporter_mcherry_full_replace_PCR_pr870_pr875	mCherry	92	681	20	0	20	0.0293685756240822	0	0.0293685756240822
